FRAMEID	COMMONNAME	SMILES	INCHI	CLASS?
NONAPRENYL-4-HYDROXYBENZOATE	3-nonaprenyl-4-hydroxybenzoate	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1COCCCCO[O-]C1CCCCCCCCC	InChI1S/C52H78O3/c1-40219-11-20-41321-12-22-42423-13-24-43525-14-26-44627-15-28-45729-16-30-46831-17-32-47933-18-34-481035-36-49-39-5052545537-38-514953/h19212325272931333537-3953H11-18202224262830323436H21-10H3H5455/p-1/b41-21+42-23+43-25+44-27+45-29+46-31+47-33+48-35+	false
CPD-14278	3<i>R</i>-3-hydroxy-cerotoyl-CoA	CCCCCCCCCCCCCCCCCCCCCCCCOCCOSCCNCOCCNCCOCCCCOP[O-]OOP[O-]OOCC1COPO[O-][O-]COCO1N3CNC2CNNCNC23O	InChI1S/C47H86N7O18P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-355530-385776-29-28-49-375626-27-50-45604259472332-69-75666772-74646568-31-36-4171-7361626340584670-3654-34-53-39-434851-33-52-443954/h33-3640-42465558-59H4-32H21-3H3H4956H5060H6465H6667H2485152H2616263/p-4/t35-36-40-41-42+46-/m1/s1	false
CPD-12486	petiveriin	CSOCC[N+]CO[O-]C1CCCCC1	InChI1S/C10H13NO3S/c11-91012137-15146-8-4-2-1-3-5-8/h1-59H6-711H2H1213/t9-15?/m0/s1	false
L-GLYCERALDEHYDE-3-PHOSPHATE	L-glyceraldehyde 3-phosphate	COPO[O-][O-]CO[CH]O	InChI1S/C3H7O6P/c4-1-352-9-10678/h135H2H2H2678/p-2/t3-/m1/s1	false
DAIDZEIN	daidzein	C1CCCCC1OC3COC2CCCCC2CO3O	InChI1S/C15H10O4/c16-10-3-1-92-4-1013-8-19-14-7-11175-6-1214151318/h1-816-17H	false
CPD-7231	mugineate	C1CCC[O-]ON1CCOC[N+]CCCOCO[O-]CO[O-]	InChI1S/C12H20N2O8/c15-71119201-3-13-91221228165-14-4-2-614101718/h6-91315-16H1-5H2H1718H1920H2122/p-2/t6-7-8-9-/m0/s1	false
PTERIDINE-RING	pteridine-ring	C1CNC2CNCNCN12	null	false
CPD-714	cathasterone	CCCCCCCOCC[CH]3CC[CH]4[CH]2CCO[CH]1CCOCCCC1[CH]2CCCC34	InChI1S/C28H48O3/c1-16217313-253018421-7-8-22-20-15-263124-14-19299-11-28246232010-12-2721225/h16-2529-30H7-15H21-6H3/t17-18+19+20+21-22+23+24-25+27-28-/m1/s1	false
DIHYDROPTERIN-CH2OH-PP	78-dihydropterin-6-ylmethyl diphosphate	C2CCOPO[O-]OPO[O-][O-]NC1CONCNNC1N2	InChI1S/C7H11N5O8P2/c8-7-11-5-461312-710-31-9-52-19-22171820-21141516/h1-2H2H1718H2141516H489111213/p-3	false
TRP	L-tryptophan	C2NC1CCCCC1CCC[N+]CO[O-]2	InChI1S/C11H12N2O2/c12-91114155-7-6-13-10-4-2-1-3-8710/h1-46913H512H2H1415/t9-/m0/s1	false
CPD-11435	N-isopropylformamide	CCCNCO	InChI1S/C4H9NO/c1-425-3-6/h3-4H1-2H3H56	false
CPD-12480	137-trimethylurate	CN1CONC2C1CONCCONC2	InChI1S/C8H10N4O3/c1-10-4-59-710141128151236413/h1-3H3H914	false
|A-DIDO-HEX-1:5_6:A|	a-dido-HEX-1:5|6:a	null	null	false
ADENYLOSUCC	adenylo-succinate	COPO[O-][O-]C1OCCOCO1N3CNC2CNCNC23NCCCO[O-]CO[O-]	InChI1S/C14H18N5O11P/c20-7211-514242518-11-8-1216-3-15-11194-17-813-1023922630-132-29-31262728/h3-69-101322-23H1-2H2H2021H2425H151618H2262728/p-4/t5?6-9-10-13-/m1/s1	false
CPD-12658	riboflavin cyclic-4'5'-phosphate	CC3CC2NC4CONCONCNCCOCOC1COP[O-]OO1C2CCC34	InChI1S/C17H19N4O8P/c1-7-3-9-104-8722115-1318-9162420-172519-155-1122142312-6-28-30262729-12/h3-411-121422-23H5-6H21-2H3H2627H202425/p-1/t11-12+14-/m1/s1	false
APIGENIN	2'44'6'-tetrahydroxychalcone	C2CCCCC1CCCCCO1OOOCCCC2O	InChI1S/C15H12O5/c16-10-4-1-92-5-103-6-121815-13197-11178-141520/h1-816-1719-20H/b6-3+	false
CPD-9858	2-methoxy-6-<i>all trans</i>-heptaprenyl-2-methoxy-14-benzoquinol	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCOCCCC1OOCCCCCC	InChI1S/C42H64O3/c1-32216-10-17-33318-11-19-34420-12-21-35522-13-23-36624-14-25-37726-15-27-38828-29-39-30-404331-4145-9423944/h1618202224262830-3143-44H10-1517192123252729H21-9H3/b33-18+34-20+35-22+36-24+37-26+38-28+	false
CPD-9035	L-methionine-DL-sulphoximine	CSCCCC[O-]O[N+]NO	InChI1S/C5H12N2O3S/c1-117103-2-46589/h47H2-36H21H3H89/t4-11?/m0/s1	false
2-PROPENYL-GLUCOSINOLATE	sinigrin	CCCCSC1OCCOCOCOCO1NOS[O-]OO	InChI1S/C10H17NO9S2/c1-2-3-611-20-2216171821-10-91581471354-1219-10/h257-1012-15H13-4H2H161718/p-1/b11-6+/t5-7-8+9-10+/m1/s1	false
CPD-14927	phytenate	CCCCCCCCCCCCCCCCCCCCO[O-]	InChI1S/C20H38O2/c1-1629-6-10-17311-7-12-18413-8-14-19515-202122/h15-18H6-14H21-5H3H2122/p-1/b19-15+/t17-18-/m1/s1	false
PENICILLIN-N	penicillin N	CC2CS[CH]1NCOCNCOCCCC[N+]CO[O-]1CCO[O-]2	InChI1S/C14H21N3O6S/c1-142913222317-10198111724-1416-7185-3-4-615122021/h68-911H3-515H21-2H3H1618H2021H2223/p-1/t6-8-9+11-/m1/s1	false
CPD-17633	22-oxo-docosanoyl-CoA	CCCCOCONCCCONCCSCOCCCCCCCCCCCCCCCCCCCC[CH]OCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]	InChI1S/C43H76N7O18P3S/c1-43229-65-71626368-70606164-28-32-3767-6957585936544266-3250-31-49-35-394447-30-48-4035503855415646-24-23-335245-25-27-72-345322-20-18-16-14-12-10-8-6-4-3-5-7-9-11-13-15-17-19-21-26-51/h2630-3236-384254-55H3-2527-29H21-2H3H4552H4656H6061H6263H2444748H2575859/p-4/t32-36-37-38+42-/m1/s1	false
INDOLE-3-ACETYL-GLN	indole-3-acetyl-glutamine	C1NC2CCCCCCCCONCCCCONC[O-]O12	InChI1S/C15H17N3O4/c16-13196-5-1215212218-14207-9-8-17-11-4-2-1-3-10911/h1-481217H5-7H2H21619H1820H2122/p-1	false
C3	UDP-<i>N</i>-acetyl-&alpha;-D-muramoyl-L-alanyl-&gamma;-D-glutamyl-L-lysyl-D-alanyl-D-alanine	CCCONCC[O-]OCNCOCCCCC[N+]NCOCCCCO[O-]NCOCCNCOCCOC1COCCOOCCNCOC1OPOPOCC2OCCOCO2N3CCCONCO3[O-]O[O-]O	InChI1S/C40H65N9O26P2/c1-16325744-18337616243-3560218-6-7-12-4146-255210-9-2238636447-335817242-345919471-31-2745-205513973-2314-5029315574-77686975-76666770-15-24-285430563672-2449-13-11-265348-404965/h111316-1921-2427-3136395054-56H6-101214-1541H21-5H3H4259H4360H4457H4551H4652H4758H6162H6364H6667H6869H485365/p-3/t16-17+18-19-21+22-23-24-27-28-29-30-31-36-39-/m1/s1	false
|B-XGLC-HEX-1:5_6:A|	b-xglc-HEX-1:5|6:a	null	null	false
CPD-678	hydrogen selenide	[SeH2]	InChI1S/H2Se/h1H2	false
CPD-15632	ladanein	COC1CCCCC1C3CCOC2CCCOCCOCO2O3	InChI1S/C17H14O6/c1-21-10-5-3-94-6-1012-7-111815-1323-128-1422-21619171520/h3-819-20H1-2H3	false
CPD-4162	stigmasterol	CCCCCCCCCC[CH]3CC[CH]4[CH]2CCC1CCOCCCC1[CH]2CCCC34	InChI1S/C29H48O/c1-7-2119239-8-20425-12-13-26-24-11-10-22-18-233014-16-28225272415-17-2925266/h8-1019-2123-2730H711-18H21-6H3/b9-8+/t20-21-23+24+25-26+27+28+29-/m1/s1	false
|X-DGAL-HEX-1:5_6:A|	x-dgal-HEX-1:5|6:a	null	null	false
CPD-4861	Z-2-methylpropanal-oxime	CC[CH]NOC	InChI1S/C4H9NO/c1-423-5-6/h3-46H1-2H3/b5-3-	false
CPD-10449	2-hydroxylamino-46-dinitrotoluene-C3-glucoside	CC2CNOCC1OCCOCOCOCO1C[N+][O-]OCC[N+][O-]O2	InChI1S/C13H17N3O10/c1-4-51522232-616242589414-2113-12201119101873-1726-13/h2710-1417-21H3H21H3/t7-10-11+12-13?/m1/s1	false
PHOSPHORIBOSYL-AMP	1-5-phospho-&beta;-D-ribosyl-AMP	CC4CCCN3CC2CNC1CCCO1COP[O-]O[O-]OOCN2NC3NO4OOOP[O-][O-]O	InChI1S/C15H23N5O14P2/c16-12-7-1318-4-191214-1023821533-141-31-35252627203-17-715-1124922634-152-32-36282930/h3-68-1114-1621-24H1-2H2H2252627H2282930/p-4/t5-6-8-9-10-11-14-15-/m1/s1	false
CPD1F-133	violaxanthin	CCCCCCCCCCCCCCC12CCCCCOCCO1C2CCCCCCCCC34CCCCCOCCO3C4	InChI1S/C40H56O4/c1-2917-13-19-31321-23-39-355625-334127-3739943-3915-11-12-16-30218-14-20-32422-24-40-367826-344228-38401044-40/h11-2433-3441-42H25-28H21-10H3/b12-11+17-13+18-14+23-21+24-22+29-15+30-16+31-19+32-20+/t33-34-37+38+39-40-/m0/s1	false
DCMP	dCMP	CC2CCCN1CNCCC1NOO2OOP[O-][O-]O	InChI1S/C9H14N3O7P/c10-7-1-2-1291411-78-3-513619-84-18-20151617/h1-25-6813H3-4H2H2101114H2151617/p-2/t5-6+8+/m0/s1	false
LINOLENOYL-COA	&alpha;-linolenoyl-CoA	CCCCCCCCCCCCCCCCCCOSCCNCOCCNCOCOCCCCOPO[O-]OPO[O-]OCC3OCN2CNC1CNNCNC12COCOPO[O-][O-]3	InChI1S/C39H64N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-304867-23-22-41-294720-21-42-37513450392325-60-66575863-65555659-24-28-3362-6452535432493861-2846-27-45-31-354043-26-44-363146/h5-68-911-1226-2832-343849-50H471013-25H21-3H3H4147H4251H5556H5758H2404344H2525354/p-4/b6-5-9-8-12-11-/t28-32+33+34?38-/m0/s1	false
CPD-12118	demethylmenaquinol-9	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCOC2CCCCCCO12C	InChI1S/C55H80O2/c1-42221-13-22-43323-14-24-44425-15-26-45527-16-28-46629-17-30-47731-18-32-48833-19-34-49935-20-36-501039-40-51-41-545652-37-11-12-38-5352555157/h11-12212325272931333537-394156-57H13-20222426283032343640H21-10H3/b43-23+44-25+45-27+46-29+47-31+48-33+49-35+50-39+	false
CPD-8007	kaempferol 7-<i>O</i>-glucoside	CC4OCOC1CC2OCCCCCC1O2O[O-]C3CCCCC3OCCC4OOOO	InChI1S/C21H20O11/c22-7-13-1525172719292132-1330-10-5-112414-126-1031-2018281614268-1-3-9234-2-8/h1-61315171921-2527-29H7H2/p-1/t13-15-17+19-21?/m1/s1	false
CPD-83	<i>trans</i>-resveratrol	CCC1CCCCC1OOC2CCCCC2O	InChI1S/C14H12O3/c15-12-5-3-104-6-121-2-11-7-13169-14178-11/h1-915-17H/b2-1+	false
GLYCOL	ethylene glycol	CCOO	InChI1S/C2H6O2/c3-1-2-4/h3-4H1-2H2	false
CPD-15894	D-ribofuranose 25-bisphosphate	CC1OCCC1OOP[O-]O[O-]OOP[O-][O-]O	InChI1S/C5H12O11P2/c6-3-21-14-17891015-574316-18111213/h2-7H1H2H28910H2111213/p-4/t2-3-4-5?/m1/s1	false
CONIFERYL-ALCOHOL	coniferyl alcohol	COC1CCCCCOCCCO1	InChI1S/C10H12O3/c1-13-10-7-83-2-6-114-5-91012/h2-5711-12H6H21H3/b3-2+	false
CPD-16679	9&beta;-stemod-1317-en-19-ol	CC1CCC23[CH]CC1C2CC[CH]4CCCOCCCC34C	InChI1S/C20H32O/c1-14-7-10-20-12-151411-16205-6-17-18213-218-4-9-1917203/h15-1721H14-13H22-3H3/t15-16-17-18+19-20+/m0/s1	false
CPD1F-95	gibberellin A<sub>12</sub>	CC1C2CC3C1C[CH]4CCCCCCC[CH]CC234C[O-]OC[O-]O	InChI1S/C20H28O4/c1-11-9-20-10-12115-6-13201827-4-8-19317232415181420162122/h12-15H14-10H22-3H3H2122H2324/p-2/t12-13+14-15+18+19-20+/m1/s1	false
CPD-8911	3R4R-34-bis4-hydroxy-3-methoxybenzyltetrahydro-2-furanol	COC1CCCCC1OCC3CCC2CCCCC2OCOCOC3O	InChI1S/C20H24O6/c1-24-18-9-123-5-1618217-14-11-26-202315148-13-4-6-17221910-1325-2/h3-69-1014-1520-23H7-811H21-2H3/t14-15+20?/m0/s1	false
CPD-5481	CPPU	C2NCCCNCONC1CCCCC1C2Cl	InChI1S/C12H10ClN3O/c13-11-8-106-7-14-1116-121715-9-4-2-1-3-5-9/h1-8HH214151617	false
3-HYDROXY-PROPIONATE	3-hydroxypropanoate	CCOC[O-]O	InChI1S/C3H6O3/c4-2-1-356/h4H1-2H2H56/p-1	false
CPD-2189	1-18:2-2-16:2-monogalactosyldiacylglycerol	CCCCCCCCCCCCCCCCCCOCCCOC1OCCCC1OOOCOOCCCCCCCCCCCCCCCCOO	InChI1S/C43H74O10/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-384550-34-3635-51-43-4249414840473733-4453-4352-394632-30-28-26-24-22-19-16-14-12-10-8-6-4-2/h11-1417-192236-3740-4447-49H3-1015-1620-2123-35H21-2H3/b13-11-14-12-18-17-22-19-/t36-37-40+41+42-43-/m1/s1	false
CPD-9151	3-chlorocatechol	C1CCCCC1ClOO	InChI1S/C6H5ClO2/c7-4-2-1-3-58649/h1-38-9H	false
CPD-712	6-deoxocathasterone	CCCCCCCOCC[CH]3CC[CH]4[CH]2CC[CH]1CCOCCCC1[CH]2CCCC34	InChI1S/C28H50O2/c1-17218315-263019423-9-10-24-22-8-7-20-16-212911-13-27205252212-14-2823246/h17-2629-30H7-16H21-6H3/t18-19+20+21+22+23-24+25+26+27+28-/m1/s1	false
CPD0-1112	&beta;-L-rhamnopyranose	CC1OCCCC1OOOO	InChI1S/C6H12O5/c1-2-37485961011-2/h2-10H1H3/t2-3-4+5+6-/m0/s1	false
OCTAPRENYL-DIPHOSPHATE	all-<i>trans</i>-octaprenyl diphosphate	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOPO[O-]OPO[O-][O-]	InChI1S/C40H68O7P2/c1-33217-10-18-34319-11-20-35421-12-22-36523-13-24-37625-14-26-38727-15-28-39829-16-30-40931-32-46-49444547-48414243/h1719212325272931H10-161820222426283032H21-9H3H4445H2414243/p-3/b34-19+35-21+36-23+37-25+38-27+39-29+40-31+	false
CONIFERYL-ALDEHYDE	coniferaldehyde	COC1CCCCCOCCCO1	InChI1S/C10H10O3/c1-13-10-7-83-2-6-114-5-91012/h2-712H1H3/b3-2+	false
CPD-12587	2<i>E</i>6<i>E</i>-farnesyl phosphate	CCCCCCCCCCCCCCCOP[O-][O-]O	InChI1S/C15H27O4P/c1-1327-5-8-1439-6-10-15411-12-19-20161718/h7911H5-681012H21-4H3H2161718/p-2/b14-9+15-11+	false
CPD0-1540	L-2-amino-2-carboxyethane-sulfonamide	CSOONCNCOO	InChI1S/C3H8N2O4S/c4-23671-10589/h2H14H2H67H2589	false
CPD-8656	cyclo-dopa 5-<i>O</i>-glucoside	CC3CCCCOC1CC2CCNCCC1O2C[O-]OO3OOOO	InChI1S/C15H19NO9/c17-4-10-1119122013211525-1024-9-2-5-1-714222316-653-8918/h2-3710-1315-21H14H2H2223/p-1/t7-10+11+12-13+15+/m0/s1	false
GERANIAL	geranial	CCCCCCCC[CH]OC	InChI1S/C10H16O/c1-925-4-6-1037-8-11/h57-8H46H21-3H3/b10-7+	false
CPD-16612	oryzalexin D	CCC2CC[CH]3C1CCCCCC[CH]1CCOCC23OCC	InChI1S/C20H32O2/c1-6-1949-7-14-1312-19152111-16-182317228-10-2014165/h61214-1721-22H17-11H22-5H3/t14-15+16-17-19-20+/m1/s1	false
CPD-6743	D-<i>myo</i>-inositol1236tetrakisphosphate	C1OCOP[O-]O[O-]COP[O-][O-]OCOP[O-][O-]OCOPO[O-][O-]CO1	InChI1S/C6H16O18P4/c7-1-28422-26121314624-28181920523-271516173121-2591011/h1-8HH291011H2121314H2151617H2181920/p-8/t1-2-3+4+5-6+/m0/s1	false
CPD-10257	5-pentadecatrienyl resorcinol-3-methyl ether	CCCCCCCCCCCCCCCC1CCOCCOCC1	InChI1S/C22H32O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-20-17-212319-2218-2024-2/h35-68-917-1923H14710-16H22H3/b6-5-9-8-	false
CPD-9699	hypoglycin A	CC1CCC[N+]C[O-]OC1	InChI1S/C7H11NO2/c1-4-2-543-687910/h5-6H1-38H2H910	false
CPD-659	L-arogenate	CCCC1CCCCC1OC[O-]O[N+][O-]O	InChI1S/C10H13NO5/c11-7813145-10915163-1-6122-4-10/h1-46-712H511H2H1314H1516/p-1/t6?7-10?/m0/s1	false
DIETHYLPYROCARBONATE	diethylpyrocarbonate	CCOCOCOCCOO	InChI1S/C6H10O5/c1-3-9-5711-6810-4-2/h3-4H21-2H3	false
CPD-18238	carboxyphosphate	CO[O-]OP[O-]OO	InChI1S/CH3O6P/c2-137-8456/hH23H2456/p-2	false
CPD-412	4-coumaroylshikimate	COC1COCOCCC[O-]OC1OCCC2CCCOCC2	InChI1S/C16H16O7/c17-11-4-1-92-5-113-6-141923-13-8-101621227-1218151320/h1-712-131517-1820H8H2H2122/p-1/b6-3+/t12-13-15-/m1/s1	false
CPD-10159	1E4S5E7R-germacra-1105-dien-11-ol	CC1CCCCOCCCCCCCCC1	InChI1S/C15H26O/c1-12-6-5-7-1329-11-1410-8-12153416/h691113-1416H57-810H21-4H3/b11-9+12-6+/t13-14+/m0/s1	false
CPD-3502	2R3S-27-dihydroxy-4'-methoxyisoflavanone	COC3CCCC2COC1CCCCOC1CO2OCC3	InChI1S/C16H14O5/c1-20-11-5-2-93-6-1114-151812-7-4-10178-131221-161419/h2-81416-1719H1H3/t14-16-/m1/s1	false
CPD-556	cholesteryl-&beta;-D-glucoside	CCCCCCCC[CH]1CC[CH]2CC1CC[CH]3[CH]2CCC5CC3CCCOC4OCCOCOCOCO4C5	InChI1S/C33H56O6/c1-1927-6-8-20324-11-12-25-23-10-9-21-17-2213-15-32214262314-16-332425538-31-3037293628352718-3439-31/h919-2022-3134-37H6-810-18H21-5H3/t20-22+23+24-25+26+27-28-29+30-31-32+33-/m1/s1	false
CPD-8609	44-dimethyl-5-&alpha;-cholesta-814-dien-3-&beta;-ol	CCCCCCC[CH]4C1CCC2CCC1C3C[CH]CC2CCCCOCC3CC4C	InChI1S/C29H48O/c1-1929-8-10-20322-12-13-23-21-11-14-25-2745263016-18-29257242115-17-2822236/h1319-202225-2630H8-1214-18H21-7H3/t20-22-25+26+28-29-/m1/s1	false
BETAINE	glycine betaine	C[N+]CCC[O-]OC	InChI1S/C5H11NO2/c1-6234-578/h4H21-3H3	false
CPD-5483	F-PU	C2NCCCNCONC1CCCCC1FC2Cl	InChI1S/C12H9ClFN3O/c13-11-7-104-5-15-1117-121816-9-3-1-2-8146-9/h1-7HH215161718	false
CPD-8910	+-secoisolariciresinol	COC1CCCCC1OCCCCC2CCCCC2OCOCOCO	InChI1S/C20H26O6/c1-25-19-9-133-5-1719237-1511-211612-228-14-4-6-18242010-1426-2/h3-69-1015-1621-24H7-811-12H21-2H3/t15-16-/m1/s1	false
CPD-14242	3-oxo-myristate	CCCCCCCCCCCCOCC[O-]O	InChI1S/C14H26O3/c1-2-3-4-5-6-7-8-9-10-11-131512-141617/h2-12H21H3H1617/p-1	false
CPD-9965	icosanoyl-CoA	CCCCCCCCCCCCCCCCCCCCOSCCNCOCCNCOCOCCCCOPOOPOOCC1COP[O-]O[O-]COCO1N3C2CCNNCN2NC3[O-][O-]	InChI1S/C41H74N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-325069-25-24-43-314922-23-44-39533652412327-62-68596065-67575861-26-30-3564-6654555634514063-3048-29-47-33-374245-28-46-383348/h28-3034-364051-52H4-27H21-3H3H4349H4453H5758H5960H2424546H2545556/p-4/t30-34-35-36+40-/m1/s1	false
CPD-9521	1<i>R</i>6<i>S</i>-6-amino-5-oxocyclohex-2-ene-1-carboxylate	CC1CCCCC1[N+]OO[O-]	InChI1S/C7H9NO3/c8-6-4710112-1-3-569/h1-246H38H2H1011/t4-6+/m1/s1	false
3-CARBOXY-3-HYDROXY-ISOCAPROATE	2<i>S</i>-2-isopropylmalate	CCCCOCCO[O-]C[O-]O	InChI1S/C7H12O5/c1-42712610113-589/h412H3H21-2H3H89H1011/p-2/t7-/m0/s1	false
CPD-641	R-mevalonate diphosphate	CCOCCOPO[O-]OP[O-][O-]OCCO[O-]	InChI1S/C6H14O10P2/c1-694-5782-3-15-18131416-17101112/h9H2-4H21H3H78H1314H2101112/p-4/t6-/m1/s1	false
CMP-N-ACETYL-NEURAMINATE	CMP-<i>N</i>-acetyl-&beta;-neuraminate	CCONC3CCCC[O-]OOPO[O-]OCC2CCCN1CNCCC1NOO2OOO[CH]3COCOCOO	InChI1S/C20H31N4O16P/c1-72622-12-8274-2018323339-161213299285-2540-41353637-6-10-143015311738-1024-3-2-112123-192434/h2-38-1012-172527-31H4-6H21H3H2226H3233H3536H2212334/p-2/t8-9+10+12+13+14+15+16+17+20+/m0/s1	false
TDP	dTDP	CC1CNCONCO1C2CCOCCOPO[O-]OPO[O-][O-]O2	InChI1S/C10H16N2O11P2/c1-5-3-12101511-95148-2-613722-84-21-25192023-24161718/h36-813H24H21H3H1920H111415H2161718/p-3/t6-7+8+/m0/s1	false
MONOTRANS-CIS-DECAPRENYL-GROUP	mono-<i>trans</i>poly-<i>cis</i>-decaprenyl group	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	null	false
CPD-8999	5-methylthio-23-dioxopentyl 1-phosphate	CSCCCOCOCOP[O-]O[O-]	InChI1S/C6H11O6PS/c1-14-3-2-57684-12-1391011/h2-4H21H3H291011/p-2	false
CPD-26	hexulose 6-phosphate	COCOCOCOCOCOP[O-][O-]O	InChI1S/C6H13O9P/c7-1-38510611492-15-16121314/h3-46-911H1-2H2H2121314/p-2	false
1-O-SINAPOYL-BETA-D-GLUCOSE	1-<i>O</i>-sinapoyl-&beta;-D-glucose	COC2CCCCCOOC1COCCCO1COOOCCCO2OC	InChI1S/C17H22O10/c1-24-9-5-86-1025-2139203-4-121927-17-162315221421117-1826-17/h3-61114-1820-23H7H21-2H3/b4-3+/t11-14-15+16-17+/m1/s1	false
CPD-8942	sinapoyltyramine	COC2CCCCCCCONCCC1CCCOCC1C2OCO	InChI1S/C19H21NO5/c1-24-16-11-1412-1725-21916235-8-182220-10-9-13-3-6-15217-4-13/h3-811-122123H9-10H21-2H3H2022/b8-5+	false
CPD-7149	pelargonidin-3-<i>O</i>-6-<i>O</i>-malonyl-&beta;-D-glucoside	COCCCO[O-]OC1OCCCC1OOOOC2CC4CCCCC[O+]C2C3CCCCC3O4O[O-]	InChI1S/C24H22O13/c25-11-3-1-102-4-1123-167-13-14275-12266-151335-2336-24-2233213220311737-249-34-19308-182829/h1-71720-222431-33H8-9H2H3-2526272829/p-1/t17-20-21+22-24-/m1/s1	false
ASCORBATE	L-ascorbate	COCO[CH]1C[O-]COCOO1	InChI1S/C6H8O6/c7-1-285-3941061112-5/h257-10H1H2/p-1/t2-5+/m0/s1	false
CPD-19477	2-2'-methylthiopropylmaleate	CSCCCCCC[O-]OCO[O-]	InChI1S/C8H12O4S/c1-13-4-2-3-6811125-7910/h5H2-4H21H3H910H1112/p-2/b6-5-	false
CPD-8477	petroselinate	CCCCCCCCCCCCCCCCCC[O-]O	InChI1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-181920/h12-13H2-1114-17H21H3H1920/p-1/b13-12-	false
2-METHYL-6-SOLANYL-14-BENZOQUINONE	2-methyl-6-all-trans-nonaprenyl-14-benzoquinol	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1COCCCCOC1CCCC	InChI1S/C52H80O2/c1-40220-12-21-41322-13-23-42424-14-25-43526-15-27-44628-16-29-45730-17-31-46832-18-33-47934-19-35-481036-37-50-39-515338-4911525054/h20222426283032343638-3953-54H12-19212325272931333537H21-11H3/b41-22+42-24+43-26+44-28+45-30+46-32+47-34+48-36+	false
CPD-13910	cyclic- 34-<i>O</i>-oxalyl-L-threonate	C1OCOCOOCCOCO[O-]1	InChI1S/C6H6O7/c7-34892-1-12-51061113-2/h2-37H1H2H89/p-1	false
O-SUCCINYLBENZOATE	2-succinylbenzoate	C1CCCCO[O-]CC1COCCCO[O-]	InChI1S/C11H10O5/c12-95-6-1013147-3-1-2-4-87111516/h1-4H5-6H2H1314H1516/p-2	false
S-TETRAHYDROBERBERINE	S-canadine	C2CC1CC5OCOCCC1[CH]3CC4CCCOCCOCCCN2345	InChI1S/C20H21NO4/c1-22-17-4-3-12-7-16-14-9-19-1824-11-25-198-13145-6-211610-1512201723-2/h3-48-916H5-710-11H21-2H3/t16-/m0/s1	false
CPD-4663	3-deoxy-capsidiol	CCC1CC2CCCCCCC12OCCC	InChI1S/C15H24O/c1-10212-6-7-13-14168-5-113151349-12/h711-121416H15-68-9H22-4H3/t11-12-14-15-/m1/s1	false
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	5-amino-1-5-phospho-&beta;-D-ribosylimidazole	C2[N+]CNC1OCCOP[O-]O[O-]COCO1CN2	InChI1S/C8H14N3O7P/c9-5-1-10-3-1158-713612418-82-17-19141516/h13-46-812-13H29H2H2141516/p-1/t4-6-7-8-/m1/s1	false
CPD-6124	1-pyrroline	C1CC[N+]C1	InChI1S/C4H7N/c1-2-4-5-3-1/h3H1-24H2/p+1	false
|X-LMAN-HEX-1:5_6:D|	x-lman-HEX-1:5|6:d	null	null	false
CPD-12915	avenastenone	CCCCCCCCCC[CH]3CC[CH]4C2CC[CH]1CCOCCCC1[CH]2CCCC34	InChI1S/C29H46O/c1-7-2119239-8-20425-12-13-26-24-11-10-22-18-233014-16-28225272415-17-2925266/h71119-202225-27H8-1012-18H21-6H3/b21-7-/t20-22+25-26+27+28+29-/m1/s1	false
CPD-12217	phenylethylbenzoate	CC1CCCCC1OOCCC2CCCCC2	InChI1S/C15H14O2/c16-1514-9-5-2-6-10-1417-12-11-13-7-3-1-4-8-13/h1-10H11-12H2	false
CPD-466	S-3-amino-2-methylpropanoate	CCC[N+]C[O-]O	InChI1S/C4H9NO2/c1-32-5467/h3H25H21H3H67/t3-/m0/s1	false
12-OXO-CIS-9-DODECENOATE	9Z-12-oxo-dodec-9-enoate	[CH]OCCCCCCCCCCCO[O-]	InChI1S/C12H20O3/c13-11-9-7-5-3-1-2-4-6-8-10-121415/h5711H1-468-10H2H1415/p-1/b7-5-	false
